numberfire_slug,nba_id
pau-gasol,2200
tibor-pleiss,202353
george-hill,201588
jarell-martin,1626185
derrick-williams,202682
randy-foye,200751
robbie-hummel,203133
terrence-ross,203082
mike-miller,2034
jorge-gutierrez,203268
draymond-green,203110
kyle-lowry,200768
raymond-felton,101109
thaddeus-young,201152
kevin-love,201567
nikola-vucevic,202696
blake-griffin,201933
aaron-brooks,201166
jodie-meeks,201975
jordan-hamilton,202706
joakim-noah,201149
isaiah-thomas,202738
james-ennis,203516
jared-sullinger,203096
paul-millsap,200794
avery-bradley,202340
joe-johnson,2207
will-barton,203115
nik-stauskas,203917
jerami-grant,203924
james-jones,2592
demarcus-cousins,202326
michael-carter-williams,203487
caron-butler,2406
julius-randle,203944
marc-gasol,201188
tony-parker,2225
richaun-holmes,1626158
lebron-james,2544
dwight-powell,203939
justin-anderson,1626147
zach-randolph,2216
jeremy-evans,202379
enes-kanter,202683
ty-lawson,201951
wesley-matthews,202083
sergey-karasev,203508
bryce-cotton,203955
terry-rozier,1626179
sasha-vujacic,2756
justise-winslow,1626159
jerian-grant,1626170
salah-mejri,1626257
john-wall,202322
al-farouq-aminu,202329
al-horford,201143
lamar-patterson,203934
kyle-o-quinn,203124
festus-ezeli,203105
james-johnson,201949
duje-dukan,1626251
amir-johnson,101161
jonathon-simmons,203613
luis-montero,1626242
tyler-zeller,203092
dorell-wright,2748
montrezl-harrell,1626149
chris-kaman,2549
walter-tavares,204002
ersan-ilyasova,101141
oj-mayo,201564
donatas-motiejunas,202700
jason-smith,201160
brandon-rush,201575
manu-ginobili,1938
reggie-jackson,202704
delon-wright,1626153
jimmy-butler,202710
courtney-lee,201584
cliff-alexander,1626146
luol-deng,2736
jordan-hill,201941
sam-dekker,1626155
eric-bledsoe,202339
zaza-pachulia,2585
josh-smith,2746
lucas-nogueira,203512
jamal-crawford,2037
joe-ingles,204060
charles-jenkins,202724
tarik-black,204028
tyler-johnson,204020
noah-vonleh,203943
metta-world-peace,1897
tony-wroten,203100
kobe-bryant,977
jon-leuer,202720
kentavious-caldwell-pope,203484
luis-scola,2449
cameron-bairstow,203946
deandre-jordan,201599
jordan-adams,203919
jordan-clarkson,203903
goran-dragic,201609
danilo-gallinari,201568
stephen-curry,201939
kevin-martin,2755
andrew-wiggins,203952
jordan-farmar,200770
josh-richardson,1626196
wesley-johnson,202325
kelly-olynyk,203482
steven-adams,203500
david-west,2561
phil-pressey,203515
pablo-prigioni,203143
rajon-rondo,200765
tyus-jones,1626145
james-young,203923
elfrid-payton,203901
axel-toupane,1626253
lamarcus-aldridge,200746
rodney-stuckey,201155
troy-daniels,203584
omri-casspi,201956
chris-paul,101108
marcus-smart,203935
kemba-walker,202689
john-jenkins,203098
trevor-booker,202344
tiago-splitter,201168
tyreke-evans,201936
reggie-bullock,203493
meyers-leonard,203086
mike-conley,201144
thabo-sefolosha,200757
marcus-thornton,201977
alan-anderson,101187
michael-kidd-gilchrist,203077
jeff-teague,201952
larry-nance-jr,1626204
sean-kilpatrick,203930
evan-turner,202323
trevor-ariza,2772
cameron-payne,1626166
cory-joseph,202709
