player_slug,name,height,weight,active,years_of_experience
nba-quincy-acy,Quincy Acy,79,240,True,3
nba-jordan-adams,Jordan Adams,77,209,True,1
nba-steven-adams,Steven Adams,84,255,True,2
nba-jeff-adrien,Jeff Adrien,79,245,False,3
nba-arron-afflalo,Arron Afflalo,77,210,True,8
nba-alexis-ajinca,Alexis Ajinca,86,248,True,5
nba-josh-akognon,Josh Akognon,71,185,True,0
nba-furkan-aldemir,Furkan Aldemir,81,230,False,0
nba-cole-aldrich,Cole Aldrich,83,250,True,5
nba-lamarcus-aldridge,LaMarcus Aldridge,83,240,True,9
nba-cliff-alexander,Cliff Alexander,80,240,True,0
nba-lavoy-allen,Lavoy Allen,81,255,True,4
nba-ray-allen,Ray Allen,77,205,True,17
nba-tony-allen,Tony Allen,76,213,True,11
nba-al-farouq-aminu,Al-Farouq Aminu,81,215,True,5
nba-lou-amundson,Lou Amundson,81,220,True,9
nba-chris-andersen,Chris Andersen,82,245,False,13
nba-alan-anderson,Alan Anderson,78,220,True,6
nba-james-anderson,James Anderson,78,213,True,4
nba-justin-anderson,Justin Anderson,78,228,True,0
nba-kyle-anderson,Kyle Anderson,81,230,True,1
nba-ryan-anderson,Ryan Anderson,82,240,True,7
nba-giannis-antetokounmpo,Giannis Antetokounmpo,83,222,True,2
nba-thanasis-antetokounmpo,Thanasis Antetokounmpo,78,205,True,0
nba-carmelo-anthony,Carmelo Anthony,80,240,True,12
nba-joel-anthony,Joel Anthony,81,245,True,8
nba-pero-antic,Pero Antic,83,260,True,1
nba-keith-appling,Keith Appling,73,185,False,0
nba-trevor-ariza,Trevor Ariza,80,215,True,11
nba-hilton-armstrong,Hilton Armstrong,83,235,True,5
nba-darrell-arthur,Darrell Arthur,81,235,True,6
nba-omer-asik,Omer Asik,84,255,True,5
nba-d-j-augustin,D.J. Augustin,72,183,False,7
nba-gustavo-ayon,Gustavo Ayon,82,250,True,2
nba-jeff-ayres,Jeff Ayres,81,250,True,4
nba-chris-babb,Chris Babb,77,225,False,1
nba-luke-babbitt,Luke Babbitt,81,225,True,5
nba-cameron-bairstow,Cameron Bairstow,81,250,True,1
nba-leandro-barbosa,Leandro Barbosa,75,194,True,12
nba-jose-juan-barea,Jose Juan Barea,72,185,True,9
nba-andrea-bargnani,Andrea Bargnani,84,245,False,9
nba-harrison-barnes,Harrison Barnes,80,225,True,3
nba-matt-barnes,Matt Barnes,79,226,True,12
nba-earl-barron,Earl Barron,84,250,False,7
nba-will-barton,Will Barton,78,175,True,3
nba-brandon-bass,Brandon Bass,80,250,True,10
nba-shane-battier,Shane Battier,80,225,True,12
nba-nicolas-batum,Nicolas Batum,80,200,True,7
nba-jerryd-bayless,Jerryd Bayless,75,200,True,7
nba-aron-baynes,Aron Baynes,82,260,True,3
nba-kent-bazemore,Kent Bazemore,77,201,True,3
nba-bradley-beal,Bradley Beal,77,207,True,3
nba-michael-beasley,Michael Beasley,82,235,True,5
nba-rodrigue-beaubois,Rodrigue Beaubois,74,185,True,3
nba-marco-belinelli,Marco Belinelli,77,210,True,8
nba-jerrelle-benimon,Jerrelle Benimon,80,245,False,0
nba-anthony-bennett,Anthony Bennett,80,245,False,2
nba-patrick-beverley,Patrick Beverley,73,185,True,3
nba-andris-biedrins,Andris Biedrins,84,242,False,9
nba-chauncey-billups,Chauncey Billups,75,210,True,16
nba-bismack-biyombo,Bismack Biyombo,81,245,True,4
nba-nemanja-bjelica,Nemanja Bjelica,82,240,True,0
nba-tarik-black,Tarik Black,81,250,True,1
nba-dejuan-blair,DeJuan Blair,79,270,False,6
nba-steve-blake,Steve Blake,75,172,True,12
nba-andray-blatche,Andray Blatche,83,260,True,8
nba-eric-bledsoe,Eric Bledsoe,73,190,True,5
nba-vander-blue,Vander Blue,76,200,True,0
nba-keith-bogans,Keith Bogans,77,215,True,10
nba-bojan-bogdanovic,Bojan Bogdanovic,80,216,True,1
nba-andrew-bogut,Andrew Bogut,84,260,True,10
nba-matt-bonner,Matt Bonner,82,235,True,11
nba-devin-booker,Devin Booker,78,206,True,0
nba-trevor-booker,Trevor Booker,80,228,True,5
nba-carlos-boozer,Carlos Boozer,81,258,True,12
nba-chris-bosh,Chris Bosh,83,235,True,12
nba-avery-bradley,Avery Bradley,74,180,True,5
nba-elton-brand,Elton Brand,81,254,True,16
nba-corey-brewer,Corey Brewer,81,186,True,8
nba-ronnie-brewer,Ronnie Brewer,79,227,False,7
nba-aaron-brooks,Aaron Brooks,72,161,True,7
nba-marshon-brooks,MarShon Brooks,77,200,False,2
nba-anthony-brown,Anthony Brown,79,210,True,0
nba-jabari-brown,Jabari Brown,77,214,False,0
nba-kwame-brown,Kwame Brown,83,290,False,12
nba-lorenzo-brown,Lorenzo Brown,77,189,False,2
nba-markel-brown,Markel Brown,75,190,True,1
nba-shannon-brown,Shannon Brown,76,210,False,7
nba-kobe-bryant,Kobe Bryant,78,212,True,19
nba-chase-budinger,Chase Budinger,79,209,True,6
nba-reggie-bullock,Reggie Bullock,79,205,True,2
nba-trey-burke,Trey Burke,73,191,True,2
nba-alec-burks,Alec Burks,78,214,True,4
nba-caron-butler,Caron Butler,79,228,True,13
nba-jimmy-butler,Jimmy Butler,79,220,True,4
nba-rasual-butler,Rasual Butler,79,215,False,12
nba-dwight-buycks,Dwight Buycks,75,190,False,0
nba-andrew-bynum,Andrew Bynum,84,285,True,7
nba-will-bynum,Will Bynum,72,185,True,6
nba-bruno-caboclo,Bruno Caboclo,81,205,True,1
nba-nick-calathes,Nick Calathes,78,213,True,1
nba-jose-calderon,Jose Calderon,75,200,True,10
nba-kentavious-caldwell-pope,Kentavious Caldwell-Pope,77,205,True,2
nba-marcus-camby,Marcus Camby,83,240,False,17
nba-isaiah-canaan,Isaiah Canaan,72,201,True,2
nba-clint-capela,Clint Capela,82,240,True,1
nba-demarre-carroll,DeMarre Carroll,80,212,True,6
nba-matt-carroll,Matt Carroll,78,212,False,9
nba-vince-carter,Vince Carter,78,220,True,17
nba-michael-carter-williams,Michael Carter-Williams,78,190,True,2
nba-omri-casspi,Omri Casspi,81,225,True,6
nba-willie-cauley-stein,Willie Cauley-Stein,84,240,True,0
nba-mario-chalmers,Mario Chalmers,74,190,False,7
nba-tyson-chandler,Tyson Chandler,85,240,True,14
nba-wilson-chandler,Wilson Chandler,80,225,True,8
nba-will-cherry,Will Cherry,73,177,False,0
nba-josh-childress,Josh Childress,80,210,False,7
nba-dionte-christmas,Dionte Christmas,77,205,False,0
nba-rakeem-christmas,Rakeem Christmas,81,250,True,0
nba-patrick-christopher,Patrick Christopher,77,220,False,0
nba-earl-clark,Earl Clark,82,225,False,4
nba-ian-clark,Ian Clark,75,175,True,2
nba-coty-clarke,Coty Clarke,79,232,False,0
nba-jordan-clarkson,Jordan Clarkson,77,194,True,1
nba-victor-claver,Victor Claver,81,224,False,2
nba-norris-cole,Norris Cole,74,175,True,4
nba-jason-collins,Jason Collins,84,255,True,11
nba-darren-collison,Darren Collison,72,175,True,6
nba-nick-collison,Nick Collison,82,255,True,11
nba-mike-conley,Mike Conley,73,175,True,8
nba-pat-connaughton,Pat Connaughton,77,206,True,0
nba-will-conroy,Will Conroy,74,195,False,2
nba-daequan-cook,Daequan Cook,77,210,False,5
nba-jack-cooley,Jack Cooley,81,246,False,0
nba-chris-copeland,Chris Copeland,81,239,False,3
nba-bryce-cotton,Bryce Cotton,73,165,False,0
nba-demarcus-cousins,DeMarcus Cousins,83,270,True,5
nba-robert-covington,Robert Covington,81,215,True,2
nba-allen-crabbe,Allen Crabbe,78,210,True,2
nba-jamal-crawford,Jamal Crawford,77,195,True,15
nba-jordan-crawford,Jordan Crawford,76,195,False,3
nba-jae-crowder,Jae Crowder,78,235,True,3
nba-dante-cunningham,Dante Cunningham,80,230,True,6
nba-jared-cunningham,Jared Cunningham,76,195,False,3
nba-eddy-curry,Eddy Curry,84,295,False,10
nba-seth-curry,Seth Curry,74,185,True,2
nba-stephen-curry,Stephen Curry,75,190,True,6
nba-samuel-dalembert,Samuel Dalembert,83,255,False,12
nba-marquis-daniels,Marquis Daniels,78,200,True,9
nba-troy-daniels,Troy Daniels,76,205,True,2
nba-brandon-davies,Brandon Davies,81,235,True,0
nba-anthony-davis,Anthony Davis,82,253,True,3
nba-ed-davis,Ed Davis,82,240,True,5
nba-glen-davis,Glen Davis,81,289,True,7
nba-andre-dawkins,Andre Dawkins,77,219,False,0
nba-branden-dawson,Branden Dawson,78,225,True,0
nba-austin-daye,Austin Daye,83,220,False,5
nba-dewayne-dedmon,Dewayne Dedmon,84,245,True,2
nba-bryce-dejean-jones,Bryce Dejean-Jones,77,203,True,0
nba-sam-dekker,Sam Dekker,81,230,True,0
nba-carlos-delfino,Carlos Delfino,78,230,True,8
nba-matthew-dellavedova,Matthew Dellavedova,76,198,True,2
nba-luol-deng,Luol Deng,81,220,True,11
nba-justin-dentmon,Justin Dentmon,71,185,True,3
nba-demar-derozan,DeMar DeRozan,79,220,True,6
nba-boris-diaw,Boris Diaw,80,250,True,12
nba-gorgui-dieng,Gorgui Dieng,83,241,True,2
nba-spencer-dinwiddie,Spencer Dinwiddie,78,200,True,1
nba-desagana-diop,DeSagana Diop,84,280,True,11
nba-keyon-dooling,Keyon Dooling,75,195,True,12
nba-toney-douglas,Toney Douglas,74,195,True,6
nba-chris-douglas-roberts,Chris Douglas-Roberts,79,210,False,5
nba-goran-dragic,Goran Dragic,75,190,True,7
nba-zoran-dragic,Zoran Dragic,77,200,True,0
nba-andre-drummond,Andre Drummond,83,279,True,3
nba-jared-dudley,Jared Dudley,79,225,True,8
nba-chris-duhon,Chris Duhon,73,190,True,8
nba-duje-dukan,Duje Dukan,81,220,True,0
nba-tim-duncan,Tim Duncan,83,250,True,18
nba-mike-dunleavy,Mike Dunleavy,81,230,True,13
nba-kevin-durant,Kevin Durant,81,240,True,8
nba-cleanthony-early,Cleanthony Early,80,210,True,1
