nba_id,positions
2211,['UN']
2036,['C']
202353,['C']
202717,"['PF', 'SF']"
201588,"['PG', 'SG']"
1626185,"['PF', 'SF']"
203485,"['PG', 'SG']"
202682,"['PF', 'SF']"
200835,"['PF', 'SF']"
203133,"['PF', 'SF']"
923,"['PF', 'SF']"
2034,"['SF', 'PG']"
202385,['UN']
203110,"['PF', 'SF']"
200768,"['PG', 'SG']"
2200,"['C', 'PF']"
2430,"['PF', 'SF']"
203315,['UN']
203480,"['PF', 'SF']"
2416,['UN']
1626151,"['PG', 'SG']"
201152,"['PF', 'SF']"
203949,"['PF', 'SF']"
203105,['C']
203123,['UN']
201944,"['SF', 'PG']"
203906,"['PF', 'SF']"
203909,"['SF', 'PG']"
202359,['UN']
203950,['UN']
1626162,"['PF', 'SF']"
201446,"['PG', 'SG']"
201166,"['PG', 'SG']"
1626204,"['PF', 'SF']"
203199,"['PF', 'SF']"
201594,"['PF', 'SF']"
202706,"['SF', 'PG']"
201291,['UN']
201149,['C']
101162,['C']
2734,"['PG', 'SG']"
2567,"['C', 'PF']"
101249,"['PG', 'SG']"
201945,"['PG', 'SG']"
203096,"['C', 'PF']"
200794,"['PF', 'SF']"
202340,"['PG', 'SG']"
2207,"['PF', 'SG']"
2056,['C']
203917,"['PG', 'SG']"
203924,"['PF', 'SF']"
2585,['C']
2592,"['SF', 'PG']"
953,"['SF', 'C']"
202326,"['C', 'PF']"
739,['UN']
2413,"['PG', 'SG']"
203952,"['SF', 'PG']"
203504,"['PG', 'SG']"
2406,"['PF', 'SF']"
201606,"['PG', 'SG']"
203944,"['PF', 'SF']"
202729,['UN']
201188,['C']
101121,"['PF', 'SF']"
201591,"['PF', 'SF']"
2225,"['PG', 'SG']"
203798,"['PF', 'SG']"
1626158,"['PF', 'SF']"
2741,['C']
2544,"['PF', 'SF']"
2407,"['PF', 'SF']"
201572,['C']
711,"['PF', 'SF']"
1626147,"['SF', 'PG']"
203913,"['PG', 'SG']"
202379,"['PF', 'SF']"
202732,['UN']
201587,"['SF', 'PG']"
202396,['UN']
201570,"['PF', 'SF']"
990,"['PF', 'SF']"
202683,['C']
201951,"['PG', 'SG']"
2484,"['PG', 'SG']"
202083,"['SF', 'PG']"
204098,"['PG', 'SG']"
2753,"['PG', 'SG']"
2037,"['PG', 'SG']"
202715,['UN']
101130,['C']
101120,['UN']
203508,"['SF', 'PG']"
201611,"['PF', 'SF']"
202407,['UN']
203955,"['PG', 'SG']"
1715,['UN']
2047,"['PF', 'SF']"
101112,"['PF', 'SF']"
1626179,"['PG', 'SG']"
202077,"['PG', 'SG']"
203141,"['PF', 'SF']"
2457,['UN']
2756,"['PG', 'SG']"
2501,"['C', 'PF']"
101109,"['PG', 'SG']"
202091,"['PG', 'SG']"
1626159,"['PF', 'SF']"
1731,"['PG', 'SG']"
202399,['UN']
101118,"['C', 'PF']"
202918,"['PG', 'SG']"
201985,['UN']
1626257,['C']
203895,"['PG', 'SG']"
203939,"['SF', 'C']"
200763,"['PG', 'SG']"
2205,['C']
1749,"['PG', 'SG']"
203957,"['PG', 'SG']"
101235,"['PG', 'SG']"
201143,"['C', 'PF']"
200792,"['PF', 'SF']"
201937,"['PG', 'SG']"
101153,"['PF', 'SF']"
201577,['C']
202130,"['PF', 'SF']"
202545,['UN']
203519,"['SF', 'PG']"
203113,"['PF', 'SF']"
203124,"['SF', 'C']"
101214,['UN']
201949,"['PF', 'SF']"
1626251,"['PF', 'SF']"
101161,"['PF', 'SF']"
203613,"['SF', 'PG']"
202814,['UN']
693,"['SF', 'C']"
1899,"['PF', 'SF']"
201141,['C']
201934,['C']
2748,"['PF', 'SG']"
202408,"['PF', 'SF']"
1626149,"['PF', 'SF']"
203092,"['C', 'PF']"
2549,['C']
204002,['C']
1626202,"['PG', 'SG']"
203162,"['PG', 'SG']"
203006,"['PG', 'SG']"
201948,"['PF', 'SF']"
101141,"['PF', 'SF']"
201564,"['PG', 'SG']"
203148,"['PG', 'SG']"
203943,"['PF', 'SF']"
200821,"['PF', 'SG']"
201633,"['PF', 'SF']"
2624,['UN']
2605,"['PF', 'SF']"
201575,"['PF', 'SG']"
1938,"['PG', 'SG']"
2694,"['PF', 'SF']"
201567,"['PF', 'SF']"
1712,['UN']
708,"['PF', 'SF']"
2571,"['PG', 'SG']"
201584,"['PG', 'SG']"
202363,"['SF', 'C']"
1626146,"['PF', 'SF']"
2736,"['PF', 'SF']"
203099,['UN']
201941,['C']
1626155,"['PF', 'SF']"
200817,"['PG', 'SG']"
202339,"['PG', 'SG']"
2553,"['PF', 'SF']"
2229,"['PG', 'SG']"
201164,"['PG', 'SG']"
1744,['C']
101135,"['SF', 'C']"
2746,"['PF', 'SF']"
201286,['UN']
1903,['UN']
1891,"['PG', 'SG']"
203512,['C']
204065,"['PG', 'SG']"
1718,"['PF', 'SF']"
202067,"['PF', 'SF']"
1497,"['PG', 'SG']"
204060,"['PF', 'SF']"
202724,"['PG', 'SG']"
203268,"['PG', 'SG']"
202734,"['PG', 'SG']"
204020,"['PG', 'SG']"
202721,"['PG', 'SG']"
202707,"['PF', 'SF']"
1626163,['C']
947,"['PG', 'SG']"
200822,['UN']
1897,"['PF', 'SF']"
203100,"['PG', 'SG']"
2648,['UN']
980,['C']
406,['C']
977,"['PF', 'SG']"
203183,['UN']
202720,"['PF', 'SF']"
203810,"['PG', 'SG']"
201947,"['PF', 'SF']"
201634,"['PG', 'SG']"
200765,"['PG', 'SG']"
200760,['UN']
2449,"['PF', 'SF']"
1548,"['C', 'PF']"
203946,"['SF', 'C']"
201599,['C']
703,['UN']
201274,"['PF', 'SF']"
979,"['C', 'PF']"
203903,"['PG', 'SG']"
201609,"['PG', 'SG']"
203481,['C']
101124,['UN']
2404,"['SF', 'C']"
1498,"['PG', 'SG']"
201939,"['PG', 'SG']"
714,"['SF', 'PG']"
200778,"['SF', 'PG']"
2032,"['PF', 'SF']"
201616,"['PF', 'SF']"
203108,['C']
2755,"['PG', 'SG']"
203142,['UN']
204028,"['C', 'PF']"
201173,"['PG', 'SG']"
203507,"['PF', 'SF']"
1626172,"['PF', 'SF']"
203103,"['PF', 'SF']"
2743,"['PF', 'SF']"
1626196,"['PG', 'SG']"
101179,"['PG', 'SG']"
201165,"['PG', 'SG']"
202738,"['PG', 'SG']"
2548,"['PG', 'SG']"
1711,"['C', 'PF']"
202325,"['PF', 'SG']"
203482,"['C', 'PF']"
203500,['C']
202412,['UN']
203505,"['PG', 'SG']"
203489,['UN']
201178,['C']
203515,['UN']
203516,"['PF', 'SF']"
203143,"['PG', 'SG']"
201150,"['SF', 'C']"
201805,"['C', 'PF']"
1626145,"['PG', 'SG']"
203923,"['SF', 'PG']"
203921,"['PF', 'SF']"
1626253,"['SF', 'PG']"
2568,"['SF', 'PG']"
202713,"['PF', 'SF']"
202390,['UN']
200746,"['PF', 'SF']"
2250,"['PF', 'SF']"
201155,"['PG', 'SG']"
101119,"['PG', 'SG']"
2757,['UN']
201956,"['PF', 'SF']"
2403,"['SF', 'C']"
203548,['UN']
101108,"['PG', 'SG']"
1729,['UN']
203564,['UN']
2570,['C']
203087,"['PG', 'SG']"
202356,"['PG', 'SG']"
101111,"['PF', 'SF']"
202066,"['PG', 'SG']"
203098,"['PG', 'SG']"
202344,"['PF', 'SF']"
2564,"['C', 'PF']"
1886,"['PF', 'SF']"
201168,"['C', 'PF']"
200759,"['PF', 'SF']"
201936,"['SF', 'PG']"
203146,['UN']
2410,"['PG', 'SG']"
202380,['UN']
101236,['UN']
2562,"['SF', 'PG']"
203493,"['PF', 'SF']"
1952,"['PG', 'SG']"
202366,['C']
1922,['UN']
203263,['UN']
203951,['UN']
201977,"['PF', 'SG']"
202718,"['PF', 'SF']"
200801,['UN']
204014,"['PF', 'SF']"
101187,"['PF', 'SG']"
956,['C']
203488,"['SF', 'C']"
201191,['UN']
203479,"['PG', 'SG']"
2223,['UN']
2550,"['PG', 'SG']"
1626170,"['PG', 'SG']"
101113,['UN']
2772,"['PF', 'SF']"
201938,"['PG', 'SG']"
2594,"['PG', 'SG']"
201954,"['PG', 'SG']"
202397,"['PG', 'SG']"
101145,"['PG', 'SG']"
201602,['UN']
2224,['UN']
201629,['UN']
202730,"['SF', 'C']"
203897,"['PG', 'SG']"
202699,"['PF', 'SF']"
203130,['UN']
202714,"['PG', 'SG']"
201145,"['PF', 'SF']"
202388,"['PG', 'SG']"
203476,"['C', 'PF']"
201154,"['PF', 'SF']"
201579,['C']
201605,"['PF', 'SF']"
202775,['UN']
201159,"['PG', 'SG']"
203919,"['PG', 'SG']"
2420,['C']
204456,"['PG', 'SG']"
2754,"['SF', 'PG']"
202689,"['PG', 'SG']"
203805,['UN']
202779,['UN']
202728,['UN']
201161,"['PG', 'SG']"
204021,['UN']
202334,"['SF', 'C']"
101181,"['PG', 'SG']"
201142,"['PF', 'SF']"
204033,['UN']
201568,"['PF', 'SF']"
2742,['UN']
101144,"['PG', 'SG']"
202419,"['PF', 'SF']"
201580,['C']
202700,"['SF', 'C']"
201991,"['PG', 'SG']"
203474,['UN']
2747,"['SF', 'PG']"
200769,['UN']
203487,"['PG', 'SG']"
1626156,"['PG', 'SG']"
203085,"['PG', 'SG']"
2555,"['PF', 'SF']"
200809,"['PG', 'SG']"
201147,"['SF', 'PG']"
1626210,"['C', 'PF']"
202338,"['SF', 'C']"
467,"['PG', 'SG']"
202681,"['PG', 'SG']"
2109,['UN']
201589,"['PF', 'SF']"
1626199,"['PF', 'SF']"
203925,['UN']
202731,"['PF', 'SF']"
201169,['UN']
1626176,"['PF', 'SF']"
2260,['UN']
203527,"['PF', 'SF']"
101155,['UN']
203080,"['PF', 'SF']"
203497,['C']
201242,"['PG', 'SG']"
203118,"['PF', 'SF']"
2050,['UN']
203475,['UN']
1916,['C']
203912,"['PG', 'SG']"
2588,"['C', 'PF']"
200081,"['PF', 'SF']"
2427,['UN']
203138,"['SF', 'PG']"
202702,"['PF', 'SF']"
2853,"['SF', 'C']"
203928,['UN']
2733,"['PG', 'SG']"
1506,['UN']
2436,"['PG', 'SG']"
1626192,"['PG', 'SG']"
1713,"['SF', 'PG']"
202322,"['PG', 'SG']"
203078,"['PG', 'SG']"
203816,"['PG', 'SG']"
1112,"['SF', 'C']"
2668,['UN']
2804,['UN']
203101,['C']
201603,['UN']
203117,"['PG', 'SG']"
203953,"['PF', 'SF']"
201573,"['PG', 'SG']"
203898,"['PG', 'SG']"
2446,['UN']
202696,['C']
202698,"['PF', 'SF']"
1890,"['SF', 'PG']"
1626183,"['PF', 'SF']"
201963,"['PF', 'SF']"
201156,"['PF', 'SG']"
201593,['C']
203197,"['PG', 'SG']"
1521,"['PG', 'SG']"
203940,"['PF', 'SF']"
101129,['UN']
202351,['UN']
2073,"['PF', 'SF']"
202375,"['PF', 'SF']"
201785,"['SF', 'PG']"
2058,"['PF', 'SF']"
201962,"['PG', 'SG']"
203081,"['PG', 'SG']"
202087,"['PF', 'SF']"
1904,"['PF', 'SF']"
1627362,"['PG', 'SG']"
203498,"['PF', 'SF']"
202536,['UN']
203996,"['PF', 'SF']"
1763,['UN']
201979,"['PG', 'SG']"
2760,"['PF', 'SF']"
203540,"['PF', 'SF']"
2243,"['PF', 'SF']"
201946,"['PF', 'SF']"
2048,['C']
202498,"['PF', 'SF']"
202377,"['PF', 'SG']"
202723,['UN']
2067,"['PG', 'SG']"
2202,"['PG', 'SG']"
204037,"['PF', 'SF']"
201196,"['PG', 'SG']"
1626181,"['PG', 'SG']"
101107,"['PF', 'SF']"
202933,"['PG', 'SG']"
2731,['C']
1626164,"['PG', 'SG']"
200753,['C']
2732,"['PG', 'SG']"
203526,"['PG', 'SG']"
1626245,"['SF', 'C']"
2584,"['PG', 'SG']"
