player,game_time,played_at_home,played_against,plus_minus,time_played_total,rebounds_total,assists,steals,blocks,turnovers,points
Goran Dragic,1351656000000,nba-gsw,True,6,37,6,8,3,1,3,17
Goran Dragic,1351828800000,nba-det,True,4,34,2,10,1,0,1,15
Goran Dragic,1352001600000,nba-orl,False,-14,35,3,8,1,0,3,12
Goran Dragic,1352091600000,nba-mia,False,-16,29,3,9,2,0,2,13
Goran Dragic,1352264400000,nba-cha,False,8,33,2,8,0,0,2,16
Goran Dragic,1352437200000,nba-cle,True,-7,34,0,4,2,0,3,26
Goran Dragic,1352523600000,nba-uta,False,-20,40,3,6,2,1,2,13
Goran Dragic,1352696400000,nba-den,True,11,31,4,7,2,0,2,21
Goran Dragic,1352869200000,nba-chi,True,-20,31,2,5,3,0,4,12
Goran Dragic,1353042000000,nba-lal,False,-9,36,2,7,2,0,0,22
Goran Dragic,1353128400000,nba-mia,True,-17,30,5,8,4,0,2,12
Goran Dragic,1353474000000,nba-por,True,10,27,2,8,3,1,1,15
Goran Dragic,1353646800000,nba-noh,True,-10,37,2,8,3,0,3,20
Goran Dragic,1353819600000,nba-phi,False,-2,29,3,4,2,0,2,10
Goran Dragic,1353992400000,nba-cle,False,19,31,5,7,2,1,5,19
Goran Dragic,1354078800000,nba-det,False,-11,16,3,1,1,0,2,10
Goran Dragic,1354251600000,nba-tor,False,3,32,5,5,1,1,2,13
Goran Dragic,1354424400000,nba-nyk,False,-13,26,4,5,0,0,2,9
Goran Dragic,1354597200000,nba-mem,False,-12,44,2,7,2,0,3,19
Goran Dragic,1354770000000,nba-dal,True,-8,41,2,4,4,0,2,15
Goran Dragic,1354942800000,nba-lac,False,-10,26,4,5,1,0,4,8
Goran Dragic,1355288400000,nba-mem,True,-2,33,5,8,1,0,2,12
Goran Dragic,1355461200000,nba-uta,True,22,35,2,5,2,0,1,17
Goran Dragic,1355720400000,nba-sac,True,24,33,2,7,1,0,1,8
Goran Dragic,1355893200000,nba-cha,True,11,34,3,11,0,0,3,21
Goran Dragic,1356152400000,nba-por,False,-9,33,1,5,0,0,1,10
Goran Dragic,1356238800000,nba-lac,True,-4,29,1,1,1,0,2,7
Goran Dragic,1356498000000,nba-nyk,True,-8,18,1,3,0,0,1,4
Goran Dragic,1356757200000,nba-min,False,-5,36,5,12,1,1,0,16
Goran Dragic,1356930000000,nba-okc,False,-20,32,3,8,0,1,5,16
Goran Dragic,1357102800000,nba-phi,True,17,41,4,6,1,3,1,20
Goran Dragic,1357275600000,nba-uta,True,-9,35,3,6,2,0,3,17
Goran Dragic,1357448400000,nba-mem,True,-3,34,3,6,2,0,4,9
Goran Dragic,1357621200000,nba-mil,False,5,32,2,4,2,0,4,21
Goran Dragic,1357707600000,nba-bos,False,-1,41,5,4,1,0,2,12
Goran Dragic,1357880400000,nba-bkn,False,-7,27,3,3,1,0,3,12
Goran Dragic,1357966800000,nba-chi,False,2,22,0,8,0,0,1,7
Goran Dragic,1358139600000,nba-okc,True,-4,34,2,1,0,0,1,11
Goran Dragic,1358398800000,nba-mil,True,1,29,1,4,2,0,3,10
Goran Dragic,1358917200000,nba-sac,False,-1,31,0,11,1,1,1,12
Goran Dragic,1359003600000,nba-lac,True,12,34,5,8,1,0,2,24
Goran Dragic,1359176400000,nba-sas,False,0,34,1,10,0,0,2,9
Goran Dragic,1359262800000,nba-dal,False,-6,35,4,8,1,2,4,18
Goran Dragic,1359522000000,nba-lal,True,8,37,2,8,3,0,2,11
Goran Dragic,1359694800000,nba-dal,True,-7,38,8,9,1,1,2,19
Goran Dragic,1359781200000,nba-gsw,False,-16,32,1,7,2,0,2,13
Goran Dragic,1360040400000,nba-mem,False,12,24,3,4,2,0,2,17
Goran Dragic,1360126800000,nba-noh,False,-10,32,2,6,0,1,4,13
Goran Dragic,1360299600000,nba-okc,False,-36,36,2,6,0,0,4,19
Goran Dragic,1360472400000,nba-okc,True,-22,25,4,4,2,1,3,6
Goran Dragic,1360645200000,nba-lal,False,-1,32,1,6,0,0,4,7
Goran Dragic,1361250000000,nba-por,False,9,39,5,18,2,1,5,16
Goran Dragic,1361336400000,nba-gsw,False,-6,36,4,10,5,0,1,20
Goran Dragic,1361509200000,nba-bos,True,-24,43,5,10,2,2,5,19
Goran Dragic,1361682000000,nba-sas,True,2,38,1,11,3,1,5,10
Goran Dragic,1361854800000,nba-min,True,-10,41,4,7,0,1,3,10
Goran Dragic,1361941200000,nba-sas,False,11,40,4,13,1,0,5,13
Goran Dragic,1362114000000,nba-atl,True,13,29,2,6,3,1,4,19
Goran Dragic,1362546000000,nba-tor,True,-23,32,4,6,1,0,4,8
Goran Dragic,1362718800000,nba-sac,False,-11,36,4,16,5,0,3,17
Goran Dragic,1362805200000,nba-hou,True,-8,29,3,1,2,0,1,18
Goran Dragic,1362974400000,nba-den,True,-14,36,1,7,4,0,2,8
Goran Dragic,1363147200000,nba-hou,False,-9,20,5,4,3,0,2,11
Goran Dragic,1363320000000,nba-atl,False,-9,33,2,8,0,0,2,21
Goran Dragic,1363406400000,nba-was,False,-19,38,4,11,0,0,0,12
Goran Dragic,1363579200000,nba-lal,True,10,31,4,10,2,2,5,12
Goran Dragic,1363752000000,nba-was,True,4,42,3,11,3,0,4,18
Goran Dragic,1363924800000,nba-min,True,-12,33,4,10,1,0,4,13
Goran Dragic,1364097600000,nba-bkn,True,3,38,9,12,0,0,4,31
Goran Dragic,1364616000000,nba-ind,True,-5,38,4,9,1,0,5,21
Goran Dragic,1364961600000,nba-lac,False,-15,31,3,4,0,0,5,12
Goran Dragic,1365134400000,nba-gsw,True,2,43,2,3,1,0,5,32
Goran Dragic,1365307200000,nba-noh,True,4,40,3,8,1,0,4,11
Goran Dragic,1365480000000,nba-hou,False,1,38,4,10,4,1,3,15
Goran Dragic,1365566400000,nba-dal,False,20,37,4,13,2,1,2,21
Goran Dragic,1365825600000,nba-min,False,0,38,2,14,4,0,6,10
Goran Dragic,1365998400000,nba-hou,True,7,36,5,14,3,0,3,21
Goran Dragic,1383105600000,nba-por,True,16,41,6,9,1,0,3,26
Goran Dragic,1383278400000,nba-uta,True,-1,25,2,5,1,1,2,5
Goran Dragic,1383451200000,nba-okc,False,-2,20,3,2,1,0,1,10
Goran Dragic,1384059600000,nba-nop,True,8,30,1,3,0,0,1,12
Goran Dragic,1384318800000,nba-por,False,6,25,1,1,0,0,2,14
Goran Dragic,1384491600000,nba-bkn,True,0,46,1,10,2,0,4,19
Goran Dragic,1384837200000,nba-sac,False,9,35,2,8,2,0,7,10
Goran Dragic,1384923600000,nba-sac,True,-2,36,2,5,1,0,1,31
Goran Dragic,1385096400000,nba-cha,False,-4,32,5,8,1,0,6,14
Goran Dragic,1385269200000,nba-orl,False,15,33,1,13,0,0,0,23
Goran Dragic,1385355600000,nba-mia,False,-3,39,8,9,1,0,1,14
Goran Dragic,1385528400000,nba-por,True,20,35,5,10,0,1,4,31
Goran Dragic,1385701200000,nba-uta,False,19,39,3,9,0,2,2,19
Goran Dragic,1385787600000,nba-uta,True,-1,40,2,9,1,0,2,24
Goran Dragic,1386046800000,nba-mem,False,-21,36,3,5,1,1,3,16
Goran Dragic,1386133200000,nba-hou,False,-5,41,2,1,4,1,4,19
Goran Dragic,1386306000000,nba-tor,True,9,38,5,2,1,0,2,14
Goran Dragic,1386651600000,nba-lal,False,14,38,2,5,1,0,1,31
Goran Dragic,1386910800000,nba-sac,True,20,35,4,3,1,0,4,29
Goran Dragic,1387083600000,nba-gsw,True,0,35,1,4,4,0,2,21
Goran Dragic,1387342800000,nba-sas,True,-5,41,2,4,0,0,2,18
Goran Dragic,1387515600000,nba-den,False,11,40,3,6,1,0,3,17
Goran Dragic,1387602000000,nba-dal,True,23,32,6,5,2,0,2,13
Goran Dragic,1387774800000,nba-lal,True,15,29,3,7,1,0,1,12
Goran Dragic,1388120400000,nba-gsw,False,-18,31,1,3,2,0,4,8
Goran Dragic,1388206800000,nba-phi,True,14,37,3,5,2,0,5,21
Goran Dragic,1388379600000,nba-lac,False,27,32,1,8,5,0,3,26
Goran Dragic,1388638800000,nba-mem,True,6,38,3,7,3,0,4,33
Goran Dragic,1388811600000,nba-mil,True,-4,29,1,6,1,0,1,15
Goran Dragic,1389070800000,nba-chi,False,-4,34,3,2,0,0,1,21
Goran Dragic,1389157200000,nba-min,False,2,41,6,9,1,0,3,26
Goran Dragic,1389330000000,nba-mem,False,3,33,3,8,0,0,1,21
Goran Dragic,1389416400000,nba-det,False,-10,35,3,8,0,0,6,15
Goran Dragic,1389589200000,nba-nyk,False,0,48,8,4,1,1,3,28
Goran Dragic,1389762000000,nba-lal,True,11,39,10,7,2,1,7,18
Goran Dragic,1389934800000,nba-dal,True,-5,38,5,7,3,0,1,28
Goran Dragic,1390107600000,nba-den,True,11,24,5,6,2,0,3,15
Goran Dragic,1390366800000,nba-ind,True,9,22,2,3,1,0,3,21
Goran Dragic,1390539600000,nba-was,True,-12,36,4,11,2,0,4,19
Goran Dragic,1390712400000,nba-cle,False,2,36,5,7,1,0,1,15
Goran Dragic,1390798800000,nba-phi,False,13,32,4,7,3,0,3,24
Goran Dragic,1390971600000,nba-mil,False,20,24,4,6,1,0,5,30
Goran Dragic,1391058000000,nba-ind,False,-1,34,3,7,1,0,2,28
Goran Dragic,1391230800000,nba-cha,True,26,27,5,4,0,0,4,25
Goran Dragic,1391490000000,nba-chi,True,-5,35,7,1,1,0,5,24
Goran Dragic,1391576400000,nba-hou,False,-14,36,6,8,3,0,4,23
Goran Dragic,1391835600000,nba-gsw,True,19,40,2,10,2,0,3,34
Goran Dragic,1392094800000,nba-mia,True,5,39,3,9,4,1,3,15
Goran Dragic,1392699600000,nba-den,False,19,42,5,14,3,0,4,21
Goran Dragic,1392786000000,nba-bos,True,-3,33,4,6,0,2,3,17
Goran Dragic,1392958800000,nba-sas,True,29,29,2,5,0,0,4,8
Goran Dragic,1393131600000,nba-hou,True,-2,42,0,3,3,0,3,35
Goran Dragic,1393304400000,nba-min,True,-17,25,3,3,0,2,2,16
Goran Dragic,1393563600000,nba-nop,True,14,42,3,5,0,0,3,40
Goran Dragic,1393736400000,nba-atl,True,-4,33,5,8,0,2,2,19
Goran Dragic,1393909200000,nba-lac,True,-7,38,4,9,1,0,2,14
Goran Dragic,1394082000000,nba-okc,True,-14,35,2,4,0,0,2,22
Goran Dragic,1394341200000,nba-gsw,False,-8,38,1,6,1,0,3,24
Goran Dragic,1394424000000,nba-lac,False,6,33,0,5,3,1,5,23
Goran Dragic,1394596800000,nba-cle,True,-7,42,2,5,2,0,4,20
Goran Dragic,1394769600000,nba-bos,False,13,38,3,4,0,0,2,20
Goran Dragic,1394942400000,nba-tor,False,-7,33,1,4,0,0,3,19
Goran Dragic,1395028800000,nba-bkn,False,-20,25,1,2,3,0,2,13
Goran Dragic,1395201600000,nba-orl,True,18,34,1,6,2,0,1,18
Goran Dragic,1395374400000,nba-det,True,5,33,3,5,1,0,0,20
Goran Dragic,1395547200000,nba-min,False,8,35,3,5,2,1,1,18
Goran Dragic,1395633600000,nba-atl,False,10,36,1,6,2,0,4,19
Goran Dragic,1395806400000,nba-was,False,15,37,7,6,0,1,4,25
Goran Dragic,1395979200000,nba-nyk,True,23,32,2,4,2,0,2,32
Goran Dragic,1396152000000,nba-lal,False,-29,38,5,4,1,0,3,17
Goran Dragic,1396411200000,nba-lac,True,-6,42,1,8,0,0,4,15
Goran Dragic,1396584000000,nba-por,False,13,37,0,2,2,1,2,19
Goran Dragic,1396756800000,nba-okc,True,5,41,2,5,1,0,1,26
Goran Dragic,1397016000000,nba-nop,False,11,39,3,9,1,3,2,20
Goran Dragic,1397275200000,nba-dal,False,5,40,5,4,1,0,2,13
Goran Dragic,1397448000000,nba-mem,True,-5,37,6,4,5,0,4,14
Goran Dragic,1414555200000,nba-lal,True,30,26,5,2,1,0,1,18
Goran Dragic,1414728000000,nba-sas,True,-9,34,3,1,0,0,2,10
Goran Dragic,1414814400000,nba-uta,False,-15,34,4,1,0,0,2,10
Goran Dragic,1415077200000,nba-lal,False,-1,29,7,4,0,0,2,16
Goran Dragic,1415163600000,nba-mem,True,-14,26,1,3,1,0,2,6
Goran Dragic,1415336400000,nba-sac,True,9,46,3,4,2,0,0,22
Goran Dragic,1415509200000,nba-gsw,True,-4,29,2,3,3,0,1,19
Goran Dragic,1415768400000,nba-bkn,True,8,35,3,6,0,0,2,18
Goran Dragic,1415941200000,nba-cha,True,-1,32,2,2,0,1,3,12
Goran Dragic,1416027600000,nba-lac,False,-25,33,1,2,2,0,2,19
Goran Dragic,1416200400000,nba-bos,False,10,32,6,7,2,0,3,22
Goran Dragic,1416373200000,nba-det,False,-2,31,3,4,0,0,3,12
Goran Dragic,1416546000000,nba-phi,False,1,22,0,1,0,0,1,10
Goran Dragic,1416632400000,nba-ind,False,11,23,2,3,2,0,1,11
Goran Dragic,1416805200000,nba-tor,False,-14,21,1,4,0,0,4,6
Goran Dragic,1416978000000,nba-den,True,2,36,5,4,2,0,2,20
Goran Dragic,1417150800000,nba-den,False,-13,24,2,3,0,0,1,7
Goran Dragic,1417323600000,nba-orl,True,5,41,8,4,0,0,5,22
Goran Dragic,1417496400000,nba-ind,True,24,35,5,3,4,0,3,34
Goran Dragic,1417755600000,nba-dal,False,15,37,2,13,0,1,1,28
Goran Dragic,1417842000000,nba-hou,False,-1,41,4,6,1,1,3,13
Goran Dragic,1418014800000,nba-lac,False,-1,39,3,8,2,0,2,17
Goran Dragic,1418101200000,nba-mia,True,-13,34,4,4,1,0,3,16
Goran Dragic,1418360400000,nba-det,True,5,32,5,5,2,0,6,18
Goran Dragic,1418792400000,nba-cha,False,11,37,3,8,1,0,1,20
Goran Dragic,1419051600000,nba-nyk,False,6,31,1,2,1,0,0,10
Goran Dragic,1419138000000,nba-was,False,0,31,6,4,1,0,3,16
Goran Dragic,1419310800000,nba-dal,True,-3,39,3,4,1,0,1,25
Goran Dragic,1419570000000,nba-sac,False,0,32,1,6,0,0,2,16
Goran Dragic,1419742800000,nba-lal,False,8,34,2,2,1,0,2,24
Goran Dragic,1419915600000,nba-nop,False,-3,36,3,3,0,0,1,22
Goran Dragic,1420002000000,nba-okc,False,-4,44,8,3,0,0,1,21
Goran Dragic,1420174800000,nba-phi,True,19,35,10,4,3,1,3,10
Goran Dragic,1420347600000,nba-tor,True,30,29,6,3,0,0,1,18
Goran Dragic,1420520400000,nba-mil,False,12,39,6,3,1,0,3,16
Goran Dragic,1420606800000,nba-min,False,3,38,3,4,1,0,2,25
Goran Dragic,1420779600000,nba-sas,False,5,34,3,4,0,1,3,17
Goran Dragic,1420952400000,nba-mem,False,1,33,1,3,1,1,0,9
