nba_id,game_time,played_at_home,played_against,plus_minus,time_played_total,rebounds_total,assists,steals,blocks,turnovers,points
201939,1351656000000,nba-phx,False,-2,30,7,3,2,0,4,5
201939,1351828800000,nba-mem,True,-7,43,5,7,1,0,4,26
201939,1351915200000,nba-lac,False,6,43,4,4,3,0,5,23
201939,1352091600000,nba-sac,False,0,39,6,8,1,0,3,12
201939,1352264400000,nba-cle,True,7,36,5,6,2,0,3,21
201939,1352437200000,nba-lal,False,-19,30,3,5,1,0,0,18
201939,1352523600000,nba-den,True,-5,37,5,3,3,0,4,19
201939,1352869200000,nba-atl,True,1,33,1,7,3,0,4,12
201939,1353042000000,nba-min,False,19,29,4,6,1,1,3,17
201939,1353214800000,nba-okc,False,-11,33,2,6,0,0,3,22
201939,1353301200000,nba-dal,False,3,43,6,9,2,0,4,31
201939,1353474000000,nba-bkn,True,9,42,6,4,0,0,2,25
201939,1353646800000,nba-den,False,-18,26,1,3,0,0,4,6
201939,1353733200000,nba-min,True,22,39,2,6,1,0,3,20
201939,1354165200000,nba-den,True,2,45,4,10,4,0,3,20
201939,1354338000000,nba-ind,True,6,37,1,11,2,0,4,20
201939,1354510800000,nba-orl,True,-3,44,5,11,2,0,1,25
201939,1354683600000,nba-det,False,10,37,3,10,4,0,1,22
201939,1354856400000,nba-bkn,False,8,43,4,5,2,0,0,28
201939,1354942800000,nba-was,False,-5,35,3,5,0,0,4,22
201939,1355115600000,nba-cha,False,3,37,7,7,1,0,3,27
201939,1355288400000,nba-mia,False,9,42,3,7,2,0,6,9
201939,1355461200000,nba-orl,False,-6,43,3,3,0,0,1,25
201939,1355547600000,nba-atl,False,20,36,8,11,3,0,4,18
201939,1355806800000,nba-noh,True,3,39,5,3,0,0,2,13
201939,1355893200000,nba-sac,False,0,42,6,4,1,1,4,32
201939,1356066000000,nba-cha,True,7,36,3,8,0,2,2,27
201939,1356152400000,nba-lal,True,6,45,8,7,4,0,4,20
201939,1356498000000,nba-uta,False,12,38,8,7,1,1,2,23
201939,1356670800000,nba-phi,True,7,39,5,6,1,0,4,11
201939,1356757200000,nba-bos,True,19,35,4,9,3,2,5,22
201939,1357102800000,nba-lac,True,25,43,6,8,2,0,4,31
201939,1357362000000,nba-lac,False,-31,29,0,5,0,0,2,10
201939,1357707600000,nba-mem,True,-12,41,4,4,2,0,4,24
201939,1357880400000,nba-por,True,-1,44,3,12,3,1,1,22
201939,1358053200000,nba-den,False,-13,41,0,7,1,0,1,29
201939,1358571600000,nba-noh,False,11,38,3,7,4,0,1,20
201939,1358744400000,nba-lac,True,7,37,3,6,0,0,2,28
201939,1358917200000,nba-okc,True,8,42,3,7,4,0,2,31
201939,1359090000000,nba-chi,False,-15,37,1,1,0,0,2,21
201939,1359176400000,nba-mil,False,-8,37,2,7,1,0,2,26
201939,1359349200000,nba-tor,False,0,26,1,5,1,0,2,17
201939,1359781200000,nba-phx,True,28,42,2,8,2,0,2,29
201939,1360040400000,nba-hou,False,-27,28,4,9,0,1,2,7
201939,1360126800000,nba-okc,False,-8,36,8,11,1,0,6,14
